# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   77       2.746052675990e-10       5.692019247674e-14      -1.227946222584e-12       0.000000000000e+00       1.992454135608e-11       2.524952705981e-12      -1.068988154817e-14 
   78       2.780966363246e-10       5.885997955348e-14      -1.298567353417e-12       0.000000000000e+00       1.930481508176e-11       2.457237369808e-12      -1.043483256430e-14 
   79       2.816207622260e-10       6.081959841295e-14      -1.370726109506e-12       0.000000000000e+00       1.870995318957e-11       2.392404957503e-12      -1.016658811346e-14 
   80       2.851812223708e-10       6.279871786913e-14      -1.444471370430e-12       0.000000000000e+00       1.813846581927e-11       2.330758090572e-12      -9.968113299239e-15 
   81       2.887776381500e-10       6.479639013955e-14      -1.519693984791e-12       0.000000000000e+00       1.758943238240e-11       2.271941492306e-12      -9.809769178454e-15 
   82       2.924082078690e-10       6.681148488620e-14      -1.596232815888e-12       0.000000000000e+00       1.706180927276e-11       2.215360898635e-12      -9.627550919689e-15 
   83       2.960709109726e-10       6.884262330589e-14      -1.673933015960e-12       0.000000000000e+00       1.655437001465e-11       2.160463576056e-12      -9.372217610128e-15 
   84       2.997644864327e-10       7.088747188430e-14      -1.752711453478e-12       0.000000000000e+00       1.606632026403e-11       2.107159204768e-12      -9.077068824123e-15 
   85       3.034875773215e-10       7.294333042715e-14      -1.832501608373e-12       0.000000000000e+00       1.559675857904e-11       2.055464046957e-12      -8.801219926610e-15 
   86       3.072392312814e-10       7.500748078761e-14      -1.913238216930e-12       0.000000000000e+00       1.514464540164e-11       2.005412296543e-12      -8.593137043626e-15 
   87       3.110214850520e-10       7.707763355029e-14      -1.994870971459e-12       0.000000000000e+00       1.470932913073e-11       1.957178777339e-12      -8.438716106924e-15 
   88       3.148371687570e-10       7.915154785506e-14      -2.077353001620e-12       0.000000000000e+00       1.429008404204e-11       1.910974556158e-12      -8.305054609334e-15 
   89       3.186881980609e-10       8.122716254971e-14      -2.160641180717e-12       0.000000000000e+00       1.388606210795e-11       1.866891316950e-12      -8.164432084983e-15 
   90       3.225726312783e-10       8.330344434325e-14      -2.244710081956e-12       0.000000000000e+00       1.349667189016e-11       1.824524855659e-12      -8.021162210580e-15 
   91       3.264871404399e-10       8.537967124130e-14      -2.329540298843e-12       0.000000000000e+00       1.312124260842e-11       1.783291720822e-12      -7.888796389867e-15 
   92       3.304288601702e-10       8.745491612965e-14      -2.415104560835e-12       0.000000000000e+00       1.275902739252e-11       1.742707808327e-12      -7.778451910176e-15 
   93       3.343984919534e-10       8.952721171740e-14      -2.501336706953e-12       0.000000000000e+00       1.240959954878e-11       1.702918145204e-12      -7.687407609718e-15 
   94       3.383976401761e-10       9.159426341113e-14      -2.588158173763e-12       0.000000000000e+00       1.207250337402e-11       1.664244185506e-12      -7.608825011750e-15 
   95       3.424278660113e-10       9.365370119779e-14      -2.675487354931e-12       0.000000000000e+00       1.174712697360e-11       1.627023702162e-12      -7.535178056682e-15 
   96       3.464902104614e-10       9.570319023078e-14      -2.763243158322e-12       0.000000000000e+00       1.143281057210e-11       1.591505646167e-12      -7.459815578770e-15 
   97       3.505836935419e-10       9.774078281602e-14      -2.851356335404e-12       0.000000000000e+00       1.112920137206e-11       1.557516570512e-12      -7.381950681809e-15 
   98       3.547065869577e-10       9.976461647890e-14      -2.939759756537e-12       0.000000000000e+00       1.083594054791e-11       1.524745853712e-12      -7.302367118287e-15 
   99       3.588568567718e-10       1.017728077260e-13      -3.028384987005e-12       0.000000000000e+00       1.055255010809e-11       1.492845738591e-12      -7.221903739520e-15 
  100       3.630326765803e-10       1.037634609025e-13      -3.117164343702e-12       0.000000000000e+00       1.027851335540e-11       1.461515472676e-12      -7.141172809968e-15 
  101       3.672340718182e-10       1.057346948707e-13      -3.206037359464e-12       0.000000000000e+00       1.001353781272e-11       1.430769498276e-12      -7.059667260339e-15 
