# Matter power spectrum P(k) at redshift z=0
# for k=1.03125e-05 to 1.72133 h/Mpc,
# number of wavenumbers equal to 569
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.627672616756e-02       2.293303635167e+04 
       2.641209185935e-02       2.285965596109e+04 
       2.654764577626e-02       2.278596417329e+04 
       2.668339215560e-02       2.271193460541e+04 
       2.681933534377e-02       2.263763861846e+04 
       2.695547979944e-02       2.256289620815e+04 
       2.709183009692e-02       2.248795791351e+04 
       2.722839092965e-02       2.241263394681e+04 
       2.736516711375e-02       2.233707455429e+04 
       2.750216359182e-02       2.226121611401e+04 
       2.763938543678e-02       2.218513475550e+04 
       2.777683785588e-02       2.210876222526e+04 
       2.791452619493e-02       2.203216992172e+04 
       2.805245594257e-02       2.195529301004e+04 
       2.819063273483e-02       2.187824340464e+04 
       2.832906235978e-02       2.180097784204e+04 
       2.846775076243e-02       2.172343995088e+04 
       2.860670404973e-02       2.164576147451e+04 
       2.874592849589e-02       2.156788781704e+04 
       2.888543054782e-02       2.148979988340e+04 
       2.902521683083e-02       2.141156834748e+04 
       2.916529415458e-02       2.133317142751e+04 
       2.930566951920e-02       2.125464183080e+04 
       2.944635012178e-02       2.117592349861e+04 
       2.958734336303e-02       2.109709851530e+04 
       2.972865685427e-02       2.101811566982e+04 
       2.987029842470e-02       2.093901263953e+04 
       3.001227612905e-02       2.085982940324e+04 
       3.015459825540e-02       2.078047350255e+04 
       3.029727333356e-02       2.070105963804e+04 
       3.044031014361e-02       2.062158333615e+04 
       3.058371772500e-02       2.054196464785e+04 
       3.072750538591e-02       2.046225783898e+04 
       3.087168271315e-02       2.038250334629e+04 
       3.101625958243e-02       2.030269911543e+04 
       3.116124616917e-02       2.022282331779e+04 
       3.130665295975e-02       2.014285308105e+04 
       3.145249076337e-02       2.006288558145e+04 
       3.159877072435e-02       1.998286574202e+04 
       3.174550433520e-02       1.990280986292e+04 
       3.189270345013e-02       1.982268374592e+04 
       3.204038029936e-02       1.974249569680e+04 
       3.218854750405e-02       1.966238931687e+04 
       3.233721809206e-02       1.958225398738e+04 
       3.248640551443e-02       1.950201879016e+04 
       3.263612366269e-02       1.942185497854e+04 
       3.278638688718e-02       1.934165704014e+04 
       3.293721001613e-02       1.926147793424e+04 
       3.308860837595e-02       1.918121223233e+04 
       3.324059781240e-02       1.910110756879e+04 
       3.339319471307e-02       1.902092361948e+04 
       3.354641603091e-02       1.894078050552e+04 
       3.370027930922e-02       1.886059245734e+04 
       3.385480270785e-02       1.878051310913e+04 
       3.401000503101e-02       1.870044104499e+04 
       3.416590575659e-02       1.862041579521e+04 
       3.432252506711e-02       1.854031165901e+04 
       3.447988388257e-02       1.846038150271e+04 
       3.463800389513e-02       1.838042007645e+04 
       3.479690760588e-02       1.830050820846e+04 
       3.495661836381e-02       1.822062110480e+04 
       3.511716040715e-02       1.814077972703e+04 
       3.527855890720e-02       1.806100232728e+04 
       3.544084001496e-02       1.798125676698e+04 
       3.560403091060e-02       1.790155252115e+04 
       3.576815985613e-02       1.782193970591e+04 
       3.593325625145e-02       1.774228717280e+04 
       3.609935069406e-02       1.766279169691e+04 
       3.626647504270e-02       1.758323005128e+04 
       3.643466248523e-02       1.750378030540e+04 
       3.660394761117e-02       1.742433432993e+04 
       3.677436648915e-02       1.734498072461e+04 
       3.694595674979e-02       1.726569649699e+04 
       3.711875767440e-02       1.718644175027e+04 
       3.729281029008e-02       1.710722423484e+04 
       3.746815747162e-02       1.702801347073e+04 
       3.764484405096e-02       1.694894428258e+04 
       3.782291693478e-02       1.686980347268e+04 
       3.800242523104e-02       1.679080569075e+04 
       3.818342038512e-02       1.671177559656e+04 
       3.836595632667e-02       1.663276113118e+04 
       3.855008962805e-02       1.655380645534e+04 
       3.873587967542e-02       1.647488827354e+04 
       3.892338885386e-02       1.639603251912e+04 
       3.911268274779e-02       1.631715681565e+04 
       3.930383035821e-02       1.623827676817e+04 
       3.949690433858e-02       1.615943739036e+04 
       3.969198125111e-02       1.608059820323e+04 
       3.988914184580e-02       1.600173678541e+04 
       4.008847136440e-02       1.592291708130e+04 
       4.029005987230e-02       1.584403238775e+04 
       4.049400262111e-02       1.576517330902e+04 
       4.070040044572e-02       1.568626695120e+04 
       4.090936019942e-02       1.560732762635e+04 
       4.112099523188e-02       1.552837062674e+04 
       4.133542591471e-02       1.544933832828e+04 
       4.155278022065e-02       1.537030286119e+04 
       4.177319436279e-02       1.529108613799e+04 
       4.199681350143e-02       1.521184261300e+04 
       4.222379252717e-02       1.513254654874e+04 
       4.245429693027e-02       1.505311514178e+04 
       4.268850376762e-02       1.497356858105e+04 
       4.292660274063e-02       1.489384728907e+04 
       4.316879739945e-02       1.481403522217e+04 
       4.341530649129e-02       1.473402269472e+04 
       4.366636547371e-02       1.465387921512e+04 
       4.392222821735e-02       1.457343917532e+04 
       4.418316892646e-02       1.449287949345e+04 
       4.444948431111e-02       1.441200199691e+04 
       4.472149605075e-02       1.433090896414e+04 
       4.499955359609e-02       1.424952593754e+04 
       4.528403736561e-02       1.416786330504e+04 
       4.557536240329e-02       1.408574174819e+04 
       4.587398257794e-02       1.400333678301e+04 
       4.618039542040e-02       1.392045474119e+04 
       4.649514771519e-02       1.383711687603e+04 
       4.681884198780e-02       1.375333675670e+04 
       4.715214405971e-02       1.366905344888e+04 
       4.749579188157e-02       1.358394292844e+04 
       4.785060590309e-02       1.349837525654e+04 
       4.821750129870e-02       1.341209087820e+04 
       4.859750244415e-02       1.332490914530e+04 
       4.899176013622e-02       1.323695035295e+04 
       4.940157217016e-02       1.314801645390e+04 
       4.982840804597e-02       1.305801969075e+04 
       5.027393877388e-02       1.296694047098e+04 
       5.074007300337e-02       1.287439600938e+04 
       5.122900102271e-02       1.278043062275e+04 
       5.174324858361e-02       1.268487787562e+04 
       5.228574301427e-02       1.258739668697e+04 
       5.285989470537e-02       1.248776333831e+04 
       5.346969778424e-02       1.238569910095e+04 
       5.411985459144e-02       1.228077133124e+04 
       5.481592931635e-02       1.217250491113e+04 
       5.556453653684e-02       1.206030590450e+04 
       5.637356979571e-02       1.194335071901e+04 
       5.725247242434e-02       1.182072996662e+04 
       5.821254506310e-02       1.169081652287e+04 
       5.926726713672e-02       1.155205028972e+04 
       6.043257527441e-02       1.140207222591e+04 
       6.172697951723e-02       1.123757961032e+04 
       6.317129840729e-02       1.105443984078e+04 
       6.478766495814e-02       1.084716288086e+04 
       6.659736505280e-02       1.060887228294e+04 
       6.861720589528e-02       1.033206137047e+04 
       7.085476404794e-02       1.000936232418e+04 
       7.330408778822e-02       9.636158349292e+03 
       7.594440059452e-02       9.212777597473e+03 
       7.874349203528e-02       8.746657497177e+03 
       8.166459079487e-02       8.252063836728e+03 
       8.467324302866e-02       7.747650631005e+03 
       8.774142272700e-02       7.253363819331e+03 
       9.084851427216e-02       6.787217534605e+03 
       9.398036581806e-02       6.363143929852e+03 
       9.712769747402e-02       5.989993731267e+03 
       1.002846006702e-01       5.671436158429e+03 
       1.034473824493e-01       5.406506907489e+03 
       1.066137609724e-01       5.190461633648e+03 
       1.097823361435e-01       5.015671767325e+03 
