# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ur             13:(.)rho_crit           14:gr.fac. D             15:gr.fac. f             16:(.)rho_smg            17:(.)p_smg              18:M*^2_smg              19:D_M*^2_smg            20:kineticity_smg        21:braiding_smg          22:tensor_excess_smg     23:Mpl_running_smg       24:c_s^2                 25:kin (D)               26:phi_smg               27:phi'                  28:phi''                 29:E0                    30:E1                    31:E2                    32:E3                 
       8.697823467963e+13       9.991130883564e-26       5.329638952389e-09       1.632229530822e+22       1.419767961309e+04       1.632325565745e-10       1.234889109293e+18       3.076583670235e-09       1.574785573591e+44       1.628265210475e+33       8.683104944350e+33       1.089387667590e+44       2.664173241284e+44       1.573326526653e-06       7.167828077813e+00       3.622710582703e-08      -3.622710582703e-08       1.000000000000e+00       0.000000000000e+00      3.620133970935e-112      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      3.620133970935e-112       1.000000000000e+01       3.570532277857e-48       5.330973034601e-39       2.664173241284e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       8.637361934422e+13       1.013149628135e-25       5.366018740460e-09       1.609616035144e+22       1.419767961309e+04       1.643751844705e-10       1.226304974472e+18       3.098119755927e-09       1.531452550303e+44       1.594544824150e+33       8.503283100008e+33       1.059411230187e+44       2.590863780591e+44       1.651992852985e-06       6.826502931250e+00       3.622710582703e-08      -3.622710582703e-08       1.000000000000e+00       0.000000000000e+00      4.092432353273e-112      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      4.092432353273e-112       1.000000000000e+01       3.769918193453e-48       5.359697052091e-39       2.590863780591e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       8.577320689594e+13       1.027383367260e-25       5.404217517935e-09       1.587315834979e+22       1.419767961309e+04       1.655258107618e-10       1.217780510896e+18       3.119806594218e-09       1.489311912148e+44       1.561522766602e+33       8.327185257149e+33       1.030259647725e+44       2.519571559972e+44       1.730659179318e-06       6.516207343466e+00       3.622710582703e-08      -3.622710582703e-08       1.000000000000e+00       0.000000000000e+00      4.606300732361e-112      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      4.606300732361e-112       1.000000000000e+01       3.971804332041e-48       5.389780783076e-39       2.519571559972e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       8.517696811911e+13       1.041817076187e-25       5.440597306006e-09       1.565324589817e+22       1.419767961309e+04       1.666844914371e-10       1.209315303769e+18       3.141645240377e-09       1.448330848532e+44       1.529184575866e+33       8.154734293961e+33       1.001910222853e+44       2.450241071482e+44       1.809325505650e-06       6.232893980706e+00       3.622710582703e-08      -3.622710582703e-08       1.000000000000e+00       0.000000000000e+00      5.164307858211e-112      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      5.164307858211e-112       1.000000000000e+01       4.176267344371e-48       5.421223528475e-39       2.450241071482e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       8.458487400110e+13       1.056453564290e-25       5.478796083480e-09       1.543638019284e+22       1.419767961309e+04       1.678512828772e-10       1.200908941181e+18       3.163636757060e-09       1.408477451701e+44       1.497516089474e+33       7.985854685772e+33       9.743408827802e+43       2.382818334576e+44       1.887991831983e-06       5.973190064844e+00       3.622710582703e-08      -3.622710582703e-08       1.000000000000e+00       0.000000000000e+00      5.769175477228e-112      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      5.769175477228e-112       1.000000000000e+01       4.383385172725e-48       5.454024989464e-39       2.382818334576e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       8.399689573098e+13       1.071295680415e-25       5.518813850358e-09       1.522251902308e+22       1.419767961309e+04       1.690262418573e-10       1.192561014082e+18       3.185782214359e-09       1.369720691899e+44       1.466503438254e+33       7.820472471984e+33       9.475301620876e+43       2.317250854079e+44       1.966658158315e-06       5.734262462250e+00       3.622710582703e-08      -3.622710582703e-08       1.000000000000e+00       0.000000000000e+00      6.423787207137e-112      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      6.423787207137e-112       1.000000000000e+01       4.593237082800e-48       5.488185264613e-39       2.317250854079e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       8.341300469809e+13       1.086346313429e-25       5.557012627833e-09       1.501162076299e+22       1.419767961309e+04       1.702094255503e-10       1.184271116269e+18       3.208082689860e-09       1.332030393209e+44       1.436133040258e+33       7.658515223678e+33       9.214571860147e+43       2.253487579315e+44       2.045324484648e-06       5.513713906009e+00       3.622710582703e-08      -3.622710582703e-08       1.000000000000e+00       0.000000000000e+00      7.131197923574e-112      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      7.131197923574e-112       1.000000000000e+01       4.805903696188e-48       5.523704847146e-39       2.253487579315e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       8.283317249065e+13       1.101608392786e-25       5.595211405307e-09       1.480364436333e+22       1.419767961309e+04       1.714008915292e-10       1.176038844358e+18       3.230539268688e-09       1.295377210060e+44       1.406391594810e+33       7.499912011892e+33       8.961016542075e+43       2.191478864357e+44       2.123990810980e-06       5.309502279861e+00       3.622710582703e-08      -3.622710582703e-08       1.000000000000e+00       0.000000000000e+00      7.894643687748e-112      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      7.894643687748e-112       1.000000000000e+01       5.021467023497e-48       5.560584622345e-39       2.191478864357e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       8.225737089439e+13       1.117084889097e-25       5.635229172185e-09       1.459854934360e+22       1.419767961309e+04       1.726006977699e-10       1.167863797774e+18       3.253153043569e-09       1.259732604374e+44       1.377266076684e+33       7.344593376562e+33       8.714438249120e+43       2.131176429373e+44       2.202657137313e-06       5.119877198437e+00       3.622710582703e-08      -3.622710582703e-08       1.000000000000e+00       0.000000000000e+00      8.717552246275e-112      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      8.717552246275e-112       1.000000000000e+01       5.240010498092e-48       5.598825865080e-39       2.131176429373e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
       8.168557189115e+13       1.132778814703e-25       5.673427949660e-09       1.439629578413e+22       1.419767961309e+04       1.738089026543e-10       1.159745578723e+18       3.275925114874e-09       1.225068823350e+44       1.348743730398e+33       7.192491296098e+33       8.474644996041e+43       2.072533323040e+44       2.281323463645e-06       4.943329708835e+00       3.622710582703e-08      -3.622710582703e-08       1.000000000000e+00       0.000000000000e+00      9.603554136075e-112      -0.000000000000e+00       0.000000000000e+00       0.000000000000e+00       0.000000000000e+00      9.603554136075e-112       1.000000000000e+01       5.461619010507e-48       5.638430237475e-39       2.072533323040e+44      -0.000000000000e+00       1.000000000000e+00      -0.000000000000e+00 
